Drug,Class_ID,Classification
"Synthetic estrogens, plain",G03CB,Sex hormones and modulators of the genital system
dequalinium,R02AA02,Throat preparations
rabies serum,J06AA06,Immune sera and immunoglobulins
isradipine,C08CA03,Calcium channel blockers
kallidinogenase,C04AF01,Peripheral vasodilators
disulfiram,P03AA04,Ectoparasiticides
ioglycamic acid,V08AC03,Contrast media
oxitriptan,N06AX01,Psychoanaleptics
bromelains,D03BA03,Preparations for treatment of wounds and ulcers
cytomegalovirus immunoglobulin,J06BB09,Immune sera and immunoglobulins
olaflur,A01AA03,Stomatological preparations
"Antifungal Antibiotics, Topical",D01AA,Antifungals for dermatological use
"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",C07D,Beta blocking agents
"Platinum compounds, antineoplastic drugs",L01XA,Antineoplastic agents
calcium glycerylphosphate,A12AA08,Mineral supplements
Boric acid antiseptics and disinfectants,D08AD,Antiseptics and disinfectants
terodiline,G04BD05,Urologicals
dienestrol,G03CC02,Sex hormones and modulators of the genital system
nimodipine,C08CA06,Calcium channel blockers
iopanoic acid,V08AC06,Contrast media
INSULINS AND ANALOGUES,A10A,Drugs used in diabetes
asenapine,N05AH05,Psycholeptics
ANTIHYPERTENSIVES,C02,Antihypertensives
tildrakizumab,L04AC17,Immunosuppressants
drospirenone and ethinylestradiol,G03AA12,Sex hormones and modulators of the genital system
pimethixene,R06AX23,Antihistamines for systemic use
clofibrate,C10AB01,Lipid modifying agents
aciclovir,J05AB01,Antivirals for systemic use
"plague, inactivated, whole cell",J07AK01,Vaccines
Drugs for urinary frequency and incontinence,G04BD,Urologicals
carmofur,L01BC04,Antineoplastic agents
PARASYMPATHOMIMETICS,N07A,Other nervous system drugs
acetylcysteine,R05CB01,Cough and cold preparations
glutathione,V03AB32,All other therapeutic products
tacrolimus,D11AH01,Other dermatological preparations
romidepsin,L01XX39,Antineoplastic agents
Beta-lactamase sensitive penicillin combinations,J01CE30,Antibacterials for systemic use
cerliponase alfa,A16AB17,Other alimentary tract and metabolism products
vinylbital,N05CA08,Psycholeptics
dobutamine,C01CA07,Cardiac therapy
"Pyrazolones, analgesics and antipyretics",N02BB,Analgesics
gemfibrozil,C10AB04,Lipid modifying agents
lomustine,L01AD02,Antineoplastic agents
tilorone,J05AX19,Antivirals for systemic use
ioxitalamic acid,V08AA05,Contrast media
Imidazole derivatives antiinfectives/antiseptics and corticosteroids,G01BF,Gynecological antiinfectives and antiseptics
protein hydrolysates,B05BA04,Blood substitutes and perfusion solutions
ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,Anti-inflammatory and antirheumatic products
tobramycin,J01GB01,Antibacterials for systemic use
busulfan,L01AB01,Antineoplastic agents
azathioprine,L04AX01,Immunosuppressants
tribromometacresol,D01AE03,Antifungals for dermatological use
formoterol and glycopyrronium bromide,R03AL07,Drugs for obstructive airway diseases
alitretinoin,D11AH04,Other dermatological preparations
solifenacin,G04BD08,Urologicals
"levodopa, decarboxylase inhibitor and COMT inhibitor",N04BA03,Anti-parkinson drugs
camazepam,N05BA15,Psycholeptics
"etilefrine, combinations",C01CA51,Cardiac therapy
pentetrazol,R07AB03,Other respiratory system products
deoxycholic acid,D11AX24,Other dermatological preparations
"Protease inhibitors, direct acting antivirals",J05AE,Antivirals for systemic use
"cholera, live attenuated",J07AE02,Vaccines
phenylbutazone,M01AA01,Anti-inflammatory and antirheumatic products
"MAO inhibitors, antihypertensives",C02KC,Antihypertensives
Antiandrogens and estrogens,G03HB,Sex hormones and modulators of the genital system
vancomycin,A07AA09,Antidiarrheals
"dipyrocetyl, combinations excl. psycholeptics",N02BA59,Analgesics
textile allergenic extracts,V01AA09,Allergens
sodium edetate,S01XA05,Ophthalmologicals
"codeine, combinations with psycholeptics",N02AA79,Analgesics
prednisolone and antiinfectives,S01CA02,Ophthalmologicals
thiazinam,R06AD06,Antihistamines for systemic use
"prednisolone, combinations",R01AD52,Nasal preparations
mepolizumab,R03DX09,Drugs for obstructive airway diseases
lithium,N05AN01,Psycholeptics
biotin,A11HA05,Vitamins
ziconotide,N02BG08,Analgesics
alclometasone,D07AB10,Corticosteroids
Aldosterone antagonists,C03DA,Diuretics
tiapride,N05AL03,Psycholeptics
"avocado and soyabean oil, unsaponifiables",M01AX26,Anti-inflammatory and antirheumatic products
Daily or Recreational Activity,T056,NA
zolmitriptan,N02CC03,Analgesics
ethyl loflazepate,N05BA18,Psycholeptics
framycetin,S01AA07,Ophthalmologicals
Anti-gonadotropin-releasing hormones,H01CC,Pituitary and hypothalamic hormones and analogues
eteplirsen,M09AX06,Other drugs for disorders of the musculo-skeletal system
Thiazides and potassium in combination,C03AB,Diuretics
retapamulin,D06AX13,Antibiotics and chemotherapeutics for dermatological use
pheniramine,R06AB05,Antihistamines for systemic use
prednisolone,D07AA03,Corticosteroids
captopril,C09AA01,Agents acting on the renin–angiotensin system
"quinine, combinations with psycholeptics",M09AA72,Other drugs for disorders of the musculo-skeletal system
neomycin,A07AA01,Antidiarrheals
acemetacin,M01AB11,Anti-inflammatory and antirheumatic products
"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",A03B,Drugs for functional gastrointestinal disorders
potassium (different salts in combination),A12BA30,Mineral supplements
ANTIMALARIALS,P01B,Antiprotozoals
"DIGESTIVES, INCL. ENZYMES",A09,Digestives
reserpine,C02AA02,Antihypertensives
atenolol and nifedipine,C07FB03,Beta blocking agents
trimipramine,N06AA06,Psychoanaleptics
Superparamagnetic contrast media,V08CB,Contrast media
metronidazole,J01XD01,Antibacterials for systemic use
epinephrine,C01CA24,Cardiac therapy
methacetin (13C),V04CE03,Diagnostic agents
nilvadipine,C08CA10,Calcium channel blockers
oxaprozin,M01AE12,Anti-inflammatory and antirheumatic products
"Triazole derivatives, systemic antimycotics",J02AC,Antimycotics for systemic use
cefepime,J01DE01,Antibacterials for systemic use
carisoprodol,M03BA02,Muscle relaxants
"Corticosteroids, very potent, other combinations",D07XD,Corticosteroids
didanosine,J05AF02,Antivirals for systemic use
calcifediol,A11CC06,Vitamins
pitolisant,N07XX11,Other nervous system drugs
pirisudanol,N06BX08,Psychoanaleptics
Retinoids for topical use in acne,D10AD,Anti-acne preparations
idarubicin,L01DB06,Antineoplastic agents
emapalumab,L04AA39,Immunosuppressants
silver,D08AL30,Antiseptics and disinfectants
etamsylate,B02BX01,Antihemorrhagics
glymidine,A10BC01,Drugs used in diabetes
sodium bicarbonate,B05CB04,Blood substitutes and perfusion solutions
Preparations increasing uric acid excretion,M04AB,Antigout preparations
phenylephrine,R01AA04,Nasal preparations
mephentermine,C01CA11,Cardiac therapy
bazedoxifene,G03XC02,Sex hormones and modulators of the genital system
"yellow fever, live attenuated",J07BL01,Vaccines
OTHER GYNECOLOGICALS in ATC,G02,Other gynecologicals
"dexchlorpheniramine, combinations",R06AB52,Antihistamines for systemic use
reproterol,R03AC15,Drugs for obstructive airway diseases
ibuprofen,G02CC01,Other gynecologicals
INFLAMMATION AND INFECTION DETECTION,V09H,Diagnostic radiopharmaceuticals
bevacizumab,L01XC07,Antineoplastic agents
"meloxicam, combinations",M01AC56,Anti-inflammatory and antirheumatic products
Other antifungal combinations for topical use in ATC,D01AE20,Antifungals for dermatological use
prednimustine,L01AA08,Antineoplastic agents
OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07A,Other respiratory system products
Expectorants,R05CA,Cough and cold preparations
cyclopentolate,S01FA04,Ophthalmologicals
oxybuprocaine,S01HA02,Ophthalmologicals
ospemifene,G03XC05,Sex hormones and modulators of the genital system
rifamycin,J04AB03,Antimycobacterials
creosote,R05CA08,Cough and cold preparations
etidocaine,N01BB07,Anesthetics
flunoxaprofen,G02CC04,Other gynecologicals
buprenorphine,N07BC01,Other nervous system drugs
carbachol,S01EB02,Ophthalmologicals
flunoxaprofen,M01AE15,Anti-inflammatory and antirheumatic products
vaginal ring with progestogen and estrogen,G02BB01,Other gynecologicals
Streptomycins,J01GA,Antibacterials for systemic use
natamycin,A01AB10,Stomatological preparations
naloxegol,A06AH03,Drugs for constipation
ferrous iodine,B03AA11,Antianemic preparations
insulin degludec and insulin aspart,A10AD06,Drugs used in diabetes
lamivudine and abacavir,J05AR02,Antivirals for systemic use
"cyanocobalamin, combinations",B03BA51,Antianemic preparations
atropine,A03BA01,Drugs for functional gastrointestinal disorders
"Watersoluble, nephrotropic, high osmolar X-ray contrast media",V08AA,Contrast media
Other antimigraine preparations in ATC,N02CX,Analgesics
norgestrienone,G03AC07,Sex hormones and modulators of the genital system
tetracycline,A01AB13,Stomatological preparations
rokitamycin,J01FA12,Antibacterials for systemic use
isothipendyl,D04AA22,Antipruritics
thebacon,R05DA10,Cough and cold preparations
"Indifferent preparations, otologicals",S02DC,Otologicals
romiplostim,B02BX04,Antihemorrhagics
"smallpox, live attenuated",J07BX01,Vaccines
hydrocortisone,D07XA01,Corticosteroids
dinoprostone,G02AD02,Other gynecologicals
thiethylperazine,R06AD03,Antihistamines for systemic use
bevantolol,C07AB06,Beta blocking agents
azacitidine,L01BC07,Antineoplastic agents
papaveretum,N02AA10,Analgesics
iocarmic acid,V08AA08,Contrast media
Professional or Occupational Group,T097,NA
betamethasone,A07EA04,Antidiarrheals
Alpha- and beta-adrenoreceptor agonist inhalants,R03AA,Drugs for obstructive airway diseases
"Secondary and tertiary amines, ganglion-blocking antiadrenergic",C02BB,Antihypertensives
coagulation factor VIII,B02BD02,Antihemorrhagics
technetium (99mTc) ethylenedicysteine,V09CA06,Diagnostic radiopharmaceuticals
azilsartan medoxomil,C09CA09,Agents acting on the renin–angiotensin system
antazoline,R01AC04,Nasal preparations
etynodiol and ethinylestradiol,G03AA01,Sex hormones and modulators of the genital system
nitrogen,V03AN04,All other therapeutic products
epicillin,J01CA07,Antibacterials for systemic use
electrolytes with carbohydrates,B05BB02,Blood substitutes and perfusion solutions
potassium iodide,V03AB21,All other therapeutic products
propanidid,N01AX04,Anesthetics
methotrexate,L01BA01,Antineoplastic agents
OTHER DRUGS FOR ACID RELATED DISORDERS in ATC,A02X,Drugs for acid related disorders
pipenzolate,A03AB14,Drugs for functional gastrointestinal disorders
vildagliptin,A10BH02,Drugs used in diabetes
trichloroethylene,N01AB05,Anesthetics
Drugs used in hereditary angioedema,B06AC,Other hematological agents
other plasma protein fractions,B05AA02,Blood substitutes and perfusion solutions
formoterol and fluticasone,R03AK11,Drugs for obstructive airway diseases
enoxolone,D03AX10,Preparations for treatment of wounds and ulcers
vapreotide,H01CB04,Pituitary and hypothalamic hormones and analogues
beclometasone,A07EA07,Antidiarrheals
"itramin tosilate, combinations",C01DX51,Cardiac therapy
nadolol and thiazides,C07BA12,Beta blocking agents
orgotein,M01AX14,Anti-inflammatory and antirheumatic products
"Insulins and analogues for injection, fast-acting",A10AB,Drugs used in diabetes
oxyphenbutazone,M02AA04,Topical products for joint and muscular pain
levofloxacin,S01AE05,Ophthalmologicals
muromonab-CD3,L04AA02,Immunosuppressants
levocarnitine,A16AA01,Other alimentary tract and metabolism products
cefetamet,J01DD10,Antibacterials for systemic use
vorapaxar,B01AC26,Antithrombotic agents
stiripentol,N03AX17,Antiepileptics
"cromoglicic acid, combinations",R01AC51,Nasal preparations
fluocinolone acetonide and antiinfectives,S02CA05,Otologicals
triaziquone,L01AC02,Antineoplastic agents
cinepazide,C04AX27,Peripheral vasodilators
"Insulins and analogs for injection, fast-acting combinations",A10AB30,Drugs used in diabetes
vigabatrin,N03AG04,Antiepileptics
technetium (99mTc) antigranulocyte antibody,V09HA03,Diagnostic radiopharmaceuticals
cefpodoxime,J01DD13,Antibacterials for systemic use
besifloxacin,S01AE08,Ophthalmologicals
nabumetone,M01AX01,Anti-inflammatory and antirheumatic products
Combinations of antihistamines,R06AK,Antihistamines for systemic use
budipine,N04BX03,Anti-parkinson drugs
piroxicam,M02AA07,Topical products for joint and muscular pain
cyclopenthiazide and potassium,C03AB07,Diuretics
pemoline,N06BA05,Psychoanaleptics
chromium (51Cr) chromate labelled cells,V09GX03,Diagnostic radiopharmaceuticals
Group Attribute,T102,NA
difluprednate,D07AC19,Corticosteroids
fibrinogen (125I),V09GB01,Diagnostic radiopharmaceuticals
aluminium chloride,D10AX01,Anti-acne preparations
amodiaquine,P01BA06,Antiprotozoals
diflucortolone,D07XC04,Corticosteroids
sulindac,M01AB02,Anti-inflammatory and antirheumatic products
diflucortolone,D07AC06,Corticosteroids
other cough suppressant combinations in ATC,R05DB20,Cough and cold preparations
fimasartan,C09CA10,Agents acting on the renin–angiotensin system
diethyltoluamide,P03BX01,Ectoparasiticides
aluminium oxide,D10AX04,Anti-acne preparations
mercaptamine,A16AA04,Other alimentary tract and metabolism products
phenol,C05BB05,Vasoprotectives
ceftaroline fosamil,J01DI02,Antibacterials for systemic use
Finding,T033,NA
fingolimod,L04AA27,Immunosuppressants
abiraterone,L02BX03,Endocrine therapy
linseed,A06AC05,Drugs for constipation
Antiinfectives for treatment of acne,D10AF,Anti-acne preparations
nifedipine and diuretics,C08GA01,Calcium channel blockers
haloperidol,N05AD01,Psycholeptics
ethacizine,C01BC09,Cardiac therapy
betamethasone,C05AA05,Vasoprotectives
"theophylline, combinations excl. psycholeptics",R03DA54,Drugs for obstructive airway diseases
Anticholinergics inhalants for obstructive airway diseases,R03BB,Drugs for obstructive airway diseases
ferric hydroxide,B03AB04,Antianemic preparations
"Enzyme preparations, digestives",A09AA,Digestives
zinc bandage without supplements,D09AB01,Medicated dressings
benziodarone,C01DX04,Cardiac therapy
niperotidine,A02BA05,Drugs for acid related disorders
noxytiolin,B05CA07,Blood substitutes and perfusion solutions
betamethasone,R03BA04,Drugs for obstructive airway diseases
vosaroxin,L01XX53,Antineoplastic agents
"Progesterone receptor modulators, sex hormones and modulators of the genital system",G03XB,Sex hormones and modulators of the genital system
secretin,V04CK01,Diagnostic agents
Parathyroid hormones and analogues,H05AA,Calcium homeostasis
disulfiram,N07BB01,Other nervous system drugs
quinagolide,G02CB04,Other gynecologicals
scopolamine,N05CM05,Psycholeptics
ANTI-DEMENTIA DRUGS,N06D,Psychoanaleptics
"Hemodialytics, concentrates",B05ZA,Blood substitutes and perfusion solutions
sulfinpyrazone,M04AB02,Antigout preparations
naltrexone,N07BB04,Other nervous system drugs
Other emollients and protectives in ATC,D02AX,Emollients and protectives
olmesartan medoxomil and diuretics,C09DA08,Agents acting on the renin–angiotensin system
chlormadinone and ethinylestradiol,G03AB07,Sex hormones and modulators of the genital system
ANESTHETICS,N01,Anesthetics
hexylresorcinol,R02AA12,Throat preparations
mivacurium chloride,M03AC10,Muscle relaxants
diltiazem,C05AE03,Vasoprotectives
"Estren derivatives, sex hormones and modulators of the genital system",G03DC,Sex hormones and modulators of the genital system
mirtazapine,N06AX11,Psychoanaleptics
rimiterol,R03AC05,Drugs for obstructive airway diseases
rubella immunoglobulin,J06BB06,Immune sera and immunoglobulins
"isoprenaline, combinations",R03CB51,Drugs for obstructive airway diseases
"Enzyme and acid preparations, combinations",A09AC,Digestives
belinostat,L01XX49,Antineoplastic agents
Other i.v. solution additives in ATC,B05XX,Blood substitutes and perfusion solutions
clozapine,N05AH02,Psycholeptics
lafutidine,A02BA08,Drugs for acid related disorders
reteplase,B01AD07,Antithrombotic agents
rosuvastatin and amlodipine,C10BX09,Lipid modifying agents
flufenamic acid,M01AG03,Anti-inflammatory and antirheumatic products
snake venom antiserum,J06AA03,Immune sera and immunoglobulins
umifenovir,J05AX13,Antivirals for systemic use
nelarabine,L01BB07,Antineoplastic agents
GENITO URINARY SYSTEM AND SEX HORMONES,G,NA
clonidine,N02CX02,Analgesics
nandrolone,A14AB01,Anabolic agents for systemic use
roquinimex,L03AX02,Immunostimulants
selenium sulfide,D01AE13,Antifungals for dermatological use
GENERAL NUTRIENTS,V06,General nutrients
"carisoprodol, combinations excl. psycholeptics",M03BA52,Muscle relaxants
Selective beta-2-adrenoreceptor agonist inhalants,R03AC,Drugs for obstructive airway diseases
"lansoprazole, clarithromycin and tinidazole",A02BD09,Drugs for acid related disorders
etilefrine,C01CA01,Cardiac therapy
taliglucerase alfa,A16AB11,Other alimentary tract and metabolism products
Archaeon,T194,NA
flavoxate,G04BD02,Urologicals
ANTIPSYCHOTICS,N05A,Psycholeptics
"Aminoalkyl ethers, systemic antihistamines",R06AA,Antihistamines for systemic use
aprobarbital,N05CA05,Psycholeptics
sebelipase alfa,A16AB14,Other alimentary tract and metabolism products
ANTI-ACNE PREPARATIONS,D10,Anti-acne preparations
dopamine,C01CA04,Cardiac therapy
lanatoside C,C01AA06,Cardiac therapy
Sclerosing agents for local injection,C05BB,Vasoprotectives
