Drug,CHEMBL,ATC
"CORTICOSTEROIDS, OTHER COMBINATIONS",CHEMBL3527138,D07X
cefalotin,CHEMBL617,J01DB03
proglumetacin,CHEMBL2105825,M01AB14
Alpha-adrenoreceptor antagonists and diuretics,CHEMBL279516,C02LE
vintafolide,CHEMBL3039521,L01CA06
butenafine,CHEMBL1200397,D01AE23
ANTIANEMIC PREPARATIONS,CHEMBL2109092,B03
nicorandil,CHEMBL284906,C01DX16
levocabastine,CHEMBL1615438,S01GX02
indacaterol,CHEMBL1095777,R03AC18
Organism Attribute,CHEMBL1382,T032
febarbamate,CHEMBL2104283,M03BA05
"meprobamate, combinations",CHEMBL979,N05CX01
bumetanide,CHEMBL1072,C03CA02
metacycline,CHEMBL249837,J01AA05
dexmethylphenidate,CHEMBL904,N06BA11
"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",CHEMBL1095283,D07C
gadoxetic acid,CHEMBL2221312,V08CA10
lercanidipine,CHEMBL2106419,C08CA13
"papaverine, combinations",CHEMBL19224,G04BE52
Selective estrogen receptor modulators,CHEMBL592868,G03XC
naproxcinod,CHEMBL2103831,M01AE18
naproxen,CHEMBL154,M01AE02
physostigmine,CHEMBL2105891,S01EB05
acetarsol,CHEMBL1330792,A07AX02
povidone-iodine,CHEMBL1201724,G01AX11
procaine,CHEMBL1628385,S01HA05
PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,CHEMBL1200452,N06C
everolimus,CHEMBL1908360,L01XE10
evolocumab,CHEMBL2364655,C10AX13
tirilazad,CHEMBL1630578,N07XX01
xylometazoline,CHEMBL1256400,R01AA07
Centrally acting antiobesity products,CHEMBL276443,A08AA
dopexamine,CHEMBL3989581,C01CA14
doxapram,CHEMBL1754,R07AB01
loprazolam,CHEMBL2107448,N05CD11
valrubicin,CHEMBL1096885,L01DB09
epanolol,CHEMBL87697,C07AB10
nadroparin,CHEMBL2109204,B01AB06
buformin,CHEMBL39736,A10BA03
zinc chloride,CHEMBL1200679,B05XA12
midodrine,CHEMBL1201212,C01CA17
umeclidinium bromide,CHEMBL523299,R03BB07
guanoxabenz,CHEMBL461343,C02CC07
ferrous glycine sulfate,CHEMBL3707208,B03AA01
"Estrogens, combinations with other drugs",CHEMBL1201468,G03CC
cinchophen,CHEMBL348000,M04AC02
nesiritide,CHEMBL1201668,C01DX19
lofexidine,CHEMBL2107417,N07BC04
"neomycin, combinations",CHEMBL3989751,A07AA51
lutetium (177Lu) oxodotreotide,CHEMBL4297545,V10XX04
"Corticosteroids, topical for treatment of hemorrhoids and anal fissures",CHEMBL3301681,C05AA
oxyphencyclimine and psycholeptics,CHEMBL1200891,A03CA03
etafenone,CHEMBL1736151,C01DX07
ceftriaxone and beta-lactamase inhibitor,CHEMBL3183968,J01DD63
bromides,CHEMBL1644694,N05CM11
"phenytoin, combinations",CHEMBL3786353,N03AB52
thiamine,CHEMBL1547,A11DA01
"measles, combinations with mumps and rubella, live attenuated",CHEMBL2109201,J07BD52
Opium derivatives and expectorants,CHEMBL2107914,R05FA
dicloxacillin,CHEMBL1200701,J01CF01
megestrol,CHEMBL1201139,G03DB02
tramadol and dexketoprofen,CHEMBL4059722,N02AJ14
albinterferon alfa-2b,CHEMBL2107842,L03AB12
ANTICHOLINERGIC AGENTS,CHEMBL2105187,N04A
THYROID DIAGNOSTIC RADIOPHARMACEUTICALS,CHEMBL2108878,V09F
"Ergot alkaloids, antimigraine",CHEMBL485253,N02CA
OTHER MINERAL SUPPLEMENTS in ATC,CHEMBL2109152,A12C
carteolol,CHEMBL1201002,S01ED05
Antiseptics and corticosteroids,CHEMBL1628401,G01BD
iopentol,CHEMBL2104783,V08AB08
chondroitin sulfate-iron complex,CHEMBL2303614,B03AB07
fluocortolone,CHEMBL2107415,C05AA08
moperone,CHEMBL2104700,N05AD04
sequifenadine,CHEMBL2105505,R06AX32
nitrazepam,CHEMBL13209,N05CD02
oxacillin,CHEMBL3989567,J01CF04
nedocromil,CHEMBL2105133,R01AC07
mitobronitol,CHEMBL447629,L01AX01
terbinafine,CHEMBL822,D01BA02
doxercalciferol,CHEMBL1200810,H05BX03
"Trimethoprim and derivatives, systemic antibacterials",CHEMBL1201080,J01EA
"encephalitis, tick borne, inactivated, whole virus",CHEMBL2109163,J07BA01
cyclopenthiazide and potassium-sparing agents,CHEMBL3989462,C03EA07
coagulation factor VII,CHEMBL4297951,B02BD05
pemetrexed,CHEMBL2360464,L01BA04
prednisolone,CHEMBL131,S01CB02
ribostamycin,CHEMBL3138633,J01GB10
decamethoxine,CHEMBL3707368,D08AJ10
"Zinc products, emollients and protectives",CHEMBL985,D02AB
histamine dihydrochloride,CHEMBL1533310,L03AX14
potassium salicylate,CHEMBL3707342,N02BA12
bevonium and psycholeptics,CHEMBL1882461,A03CA06
Dipeptidyl peptidase 4 (DPP-4) inhibitors for blood glucose lowering,CHEMBL376359,A10BH
ampicillin and beta-lactamase inhibitor,CHEMBL1200758,J01CR01
carbasalate calcium,CHEMBL3833325,N02BA15
BLOOD AND BLOOD FORMING ORGAN DRUGS,CHEMBL2108943,B
etybenzatropine,CHEMBL2104273,N04AC30
Other potassium-sparing agents in ATC,CHEMBL945,C03DB
lisinopril and diuretics,CHEMBL419213,C09BA03
Methyldopa and diuretics in combination,CHEMBL459,C02LB
HORMONES AND RELATED AGENTS,CHEMBL171407,L02A
chlorbenzoxamine,CHEMBL2110781,A03AX03
econazole,CHEMBL1201049,D01AC03
SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,CHEMBL193,C08C
sodium selenite,CHEMBL112302,A12CE02
etomidate,CHEMBL681,N01AX07
sultamicillin,CHEMBL506110,J01CR04
"betaxolol, combinations",CHEMBL1691,S01ED52
rivastigmine,CHEMBL636,N06DA03
idanpramine,CHEMBL3707301,A03AX06
thenalidine,CHEMBL2105458,D04AA03
linezolid,CHEMBL126,J01XX08
penthienate,CHEMBL2110700,A03AB04
difetarsone,CHEMBL1788396,P01AR02
dextran,CHEMBL1697742,B05AA05
pravastatin and acetylsalicylic acid,CHEMBL1144,C10BX02
Calcineurin inhibitors,CHEMBL2218919,L04AD
levobupivacaine,CHEMBL1201193,N01BB10
oprelvekin,CHEMBL1201573,L03AC02
aciclovir,CHEMBL184,D06BB03
Cell Function,CHEMBL4298070,T043
cefditoren,CHEMBL454446,J01DD16
heptabarbital,CHEMBL468837,N05CA11
labetalol,CHEMBL429,C07AG01
fosphenytoin,CHEMBL1201336,N03AB05
fidaxomicin,CHEMBL4077022,A07AA12
metreleptin,CHEMBL2107857,A16AA07
piperidione,CHEMBL3707370,R05DB23
budesonide,CHEMBL1370,D07AC09
"Carbohydrates/proteins/minerals/vitamins, combinations",CHEMBL2109152,V06DA
mexiletine,CHEMBL558,C01BB02
sulfametrole and trimethoprim,CHEMBL2105398,J01EE03
Measles vaccines,CHEMBL2109210,J07BD
fenozolone,CHEMBL2104907,N06BA08
dibutylsuccinate,CHEMBL1788388,P03BX04
Somatropin and somatropin agonists,CHEMBL1201621,H01AC
Serotonin receptor antagonists for functional gastrointestinal disorders,CHEMBL1110,A03AE
azapropazone,CHEMBL1565476,M01AX04
pyrimethamine,CHEMBL36,P01BD01
dexpanthenol,CHEMBL1200979,A11HA30
benzydamine,CHEMBL1528134,M01AX07
diosmin,CHEMBL231884,C05CA03
OTHER DERMATOLOGICAL PREPARATIONS IN ATC,CHEMBL3527138,D11AX
Lavandulae aetheroleum,CHEMBL2108210,N05BX05
lapatinib,CHEMBL554,L01XE07
promazine,CHEMBL564,N05AA03
phytomenadione,CHEMBL520156,B02BA01
Glycogenolytic hormones,CHEMBL266481,H04AA
cefsulodin,CHEMBL3351077,J01DD03
histamine phosphate,CHEMBL3989520,V04CG03
Bulk-forming laxatives,CHEMBL2109198,A06AC
diloxanide,CHEMBL2103768,P01AC01
Other peripheral vasodilators in ATC,CHEMBL188921,C04AX
clioquinol,CHEMBL497,S02AA05
ustekinumab,CHEMBL1201835,L04AC05
morphine and antispasmodics,CHEMBL2103744,N02AG01
metformin and alogliptin,CHEMBL1431,A10BD13
ceritinib,CHEMBL2403108,L01XE28
"pethidine, combinations with psycholeptics",CHEMBL607,N02AB72
mezlocillin,CHEMBL1697708,J01CA10
"prilocaine, combinations",CHEMBL1194,N01BB54
phenolphthalein,CHEMBL63857,A06AB04
tetracosactide,CHEMBL2103784,H01AA02
"meningococcus A, purified polysaccharides antigen conjugated",CHEMBL2109142,J07AH10
technetium (99mTc) etarfolatide,CHEMBL3707391,V09IA08
capreomycin,CHEMBL2218913,J04AB30
ANTIBIOTICS FOR TOPICAL USE,CHEMBL2108694,D06A
mometasone,CHEMBL1201404,R03BA07
Antiinfectives,CHEMBL4,S02AA
cortisone,CHEMBL68363,H02AB10
Detoxifying agents for antineoplastic treatment,CHEMBL496957,V03AF
cascara,CHEMBL2108265,A06AB07
ethchlorvynol,CHEMBL591,N05CM08
amitriptyline and psycholeptics,CHEMBL1200964,N06CA01
palifermin,CHEMBL1201821,V03AF08
thiamazole,CHEMBL1515,H03BB02
motretinide,CHEMBL519260,D10AD05
Poliomyelitis vaccines,CHEMBL2108778,J07BF
DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,CHEMBL1201589,R03
Nucleotide Sequence,CHEMBL609238,T086
lesinurad,CHEMBL2105720,M04AB05
hyoscyamine and psycholeptics,CHEMBL1331216,A03CB31
fenfluramine,CHEMBL2106217,A08AA02
ANTIMETABOLITES,CHEMBL20883,L01B
clorindione,CHEMBL278519,B01AA09
carbuterol,CHEMBL2110780,R03CC10
dihydrocodeine and acetylsalicylic acid,CHEMBL2062266,N02AJ02
Other peripherally acting muscle relaxants in ATC,CHEMBL1201574,M03AX
bioallethrin,CHEMBL1788403,P03AC02
fluocinolone acetonide and antiseptics,CHEMBL989,D07BC02
etirinotecan pegol,CHEMBL3039558,L01XX56
ocrelizumab,CHEMBL2108041,L04AA36
Combinations of antineoplastic agents,CHEMBL1200718,L01XY
"Synthetic estrogens, plain",CHEMBL1201467,G03CB
dequalinium,CHEMBL2113330,R02AA02
rabies serum,CHEMBL1201600,J06AA06
isradipine,CHEMBL1648,C08CA03
kallidinogenase,CHEMBL2109067,C04AF01
disulfiram,CHEMBL964,P03AA04
ioglycamic acid,CHEMBL2106372,V08AC03
oxitriptan,CHEMBL350221,N06AX01
bromelains,CHEMBL2109027,D03BA03
cytomegalovirus immunoglobulin,CHEMBL2108981,J06BB09
olaflur,CHEMBL2106575,A01AA03
"Antifungal Antibiotics, Topical",CHEMBL2108694,D01AA
"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",CHEMBL435,C07D
"Platinum compounds, antineoplastic drugs",CHEMBL414804,L01XA
calcium glycerylphosphate,CHEMBL3707206,A12AA08
Boric acid antiseptics and disinfectants,CHEMBL42403,D08AD
terodiline,CHEMBL363295,G04BD05
dienestrol,CHEMBL1018,G03CC02
nimodipine,CHEMBL1428,C08CA06
iopanoic acid,CHEMBL867,V08AC06
INSULINS AND ANALOGUES,CHEMBL415022,A10A
asenapine,CHEMBL3187365,N05AH05
ANTIHYPERTENSIVES,CHEMBL1111,C02
tildrakizumab,CHEMBL2108681,L04AC17
drospirenone and ethinylestradiol,CHEMBL1509,G03AA12
pimethixene,CHEMBL1523827,R06AX23
clofibrate,CHEMBL565,C10AB01
aciclovir,CHEMBL184,J05AB01
"plague, inactivated, whole cell",CHEMBL2107906,J07AK01
Drugs for urinary frequency and incontinence,CHEMBL1346,G04BD
carmofur,CHEMBL460499,L01BC04
PARASYMPATHOMIMETICS,CHEMBL1567463,N07A
acetylcysteine,CHEMBL600,R05CB01
glutathione,CHEMBL1543,V03AB32
tacrolimus,CHEMBL3989887,D11AH01
romidepsin,CHEMBL3310505,L01XX39
Beta-lactamase sensitive penicillin combinations,CHEMBL29,J01CE30
cerliponase alfa,CHEMBL3544921,A16AB17
vinylbital,CHEMBL2105552,N05CA08
dobutamine,CHEMBL1200418,C01CA07
"Pyrazolones, analgesics and antipyretics",CHEMBL28318,N02BB
gemfibrozil,CHEMBL457,C10AB04
lomustine,CHEMBL514,L01AD02
tilorone,CHEMBL47298,J05AX19
ioxitalamic acid,CHEMBL2107239,V08AA05
Imidazole derivatives antiinfectives/antiseptics and corticosteroids,CHEMBL1201196,G01BF
protein hydrolysates,CHEMBL1201652,B05BA04
ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,CHEMBL1908355,M01
tobramycin,CHEMBL3989564,J01GB01
busulfan,CHEMBL820,L01AB01
azathioprine,CHEMBL1542,L04AX01
tribromometacresol,CHEMBL3707340,D01AE03
formoterol and glycopyrronium bromide,CHEMBL3989798,R03AL07
alitretinoin,CHEMBL705,D11AH04
solifenacin,CHEMBL1200803,G04BD08
"levodopa, decarboxylase inhibitor and COMT inhibitor",CHEMBL3661415,N04BA03
camazepam,CHEMBL1095282,N05BA15
"etilefrine, combinations",CHEMBL86882,C01CA51
pentetrazol,CHEMBL116943,R07AB03
deoxycholic acid,CHEMBL406393,D11AX24
"Protease inhibitors, direct acting antivirals",CHEMBL114,J05AE
"cholera, live attenuated",CHEMBL2108939,J07AE02
phenylbutazone,CHEMBL101,M01AA01
"MAO inhibitors, antihypertensives",CHEMBL673,C02KC
Antiandrogens and estrogens,CHEMBL1201468,G03HB
vancomycin,CHEMBL262777,A07AA09
"dipyrocetyl, combinations excl. psycholeptics",CHEMBL1451173,N02BA59
textile allergenic extracts,CHEMBL2074687,V01AA09
sodium edetate,CHEMBL2104344,S01XA05
"codeine, combinations with psycholeptics",CHEMBL1201099,N02AA79
prednisolone and antiinfectives,CHEMBL2105774,S01CA02
thiazinam,CHEMBL2111135,R06AD06
"prednisolone, combinations",CHEMBL2105774,R01AD52
mepolizumab,CHEMBL2108429,R03DX09
lithium,CHEMBL2146126,N05AN01
biotin,CHEMBL857,A11HA05
ziconotide,CHEMBL2103752,N02BG08
alclometasone,CHEMBL1200989,D07AB10
Aldosterone antagonists,CHEMBL273453,C03DA
tiapride,CHEMBL84158,N05AL03
"avocado and soyabean oil, unsaponifiables",CHEMBL1201485,M01AX26
Daily or Recreational Activity,CHEMBL3645269,T056
zolmitriptan,CHEMBL1185,N02CC03
ethyl loflazepate,CHEMBL1213460,N05BA18
framycetin,CHEMBL184618,S01AA07
Anti-gonadotropin-releasing hormones,CHEMBL263690,H01CC
eteplirsen,CHEMBL2108278,M09AX06
Thiazides and potassium in combination,CHEMBL3989462,C03AB
retapamulin,CHEMBL1658,D06AX13
pheniramine,CHEMBL1653,R06AB05
prednisolone,CHEMBL131,D07AA03
captopril,CHEMBL1560,C09AA01
"quinine, combinations with psycholeptics",CHEMBL2359966,M09AA72
neomycin,CHEMBL3989751,A07AA01
acemetacin,CHEMBL189171,M01AB11
"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",CHEMBL1331216,A03B
potassium (different salts in combination),CHEMBL2108692,A12BA30
ANTIMALARIALS,CHEMBL301267,P01B
"DIGESTIVES, INCL. ENZYMES",CHEMBL1201482,A09
reserpine,CHEMBL772,C02AA02
atenolol and nifedipine,CHEMBL24,C07FB03
trimipramine,CHEMBL1200948,N06AA06
Superparamagnetic contrast media,CHEMBL1201503,V08CB
epinephrine,CHEMBL1256958,C01CA24
methacetin (13C),CHEMBL1916041,V04CE03
nilvadipine,CHEMBL517427,C08CA10
oxaprozin,CHEMBL1071,M01AE12
"Triazole derivatives, systemic antimycotics",CHEMBL64391,J02AC
cefepime,CHEMBL186,J01DE01
carisoprodol,CHEMBL1233,M03BA02
"Corticosteroids, very potent, other combinations",CHEMBL1200845,D07XD
didanosine,CHEMBL1460,J05AF02
calcifediol,CHEMBL3544909,A11CC06
pitolisant,CHEMBL4164059,N07XX11
pirisudanol,CHEMBL2104859,N06BX08
Retinoids for topical use in acne,CHEMBL519260,D10AD
idarubicin,CHEMBL1200976,L01DB06
emapalumab,CHEMBL3989977,L04AA39
silver,CHEMBL1230866,D08AL30
etamsylate,CHEMBL1514715,B02BX01
glymidine,CHEMBL1697838,A10BC01
sodium bicarbonate,CHEMBL1353,B05CB04
Preparations increasing uric acid excretion,CHEMBL897,M04AB
phenylephrine,CHEMBL1200339,R01AA04
mephentermine,CHEMBL3184799,C01CA11
bazedoxifene,CHEMBL2106615,G03XC02
"yellow fever, live attenuated",CHEMBL2108816,J07BL01
OTHER GYNECOLOGICALS in ATC,CHEMBL3527138,G02
"dexchlorpheniramine, combinations",CHEMBL1200927,R06AB52
reproterol,CHEMBL1095607,R03AC15
ibuprofen,CHEMBL521,G02CC01
INFLAMMATION AND INFECTION DETECTION,CHEMBL2108809,V09H
bevacizumab,CHEMBL1201583,L01XC07
"meloxicam, combinations",CHEMBL599,M01AC56
Other antifungal combinations for topical use in ATC,CHEMBL2108694,D01AE20
prednimustine,CHEMBL2103751,L01AA08
OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,CHEMBL3527138,R07A
Expectorants,CHEMBL2110990,R05CA
cyclopentolate,CHEMBL1201338,S01FA04
oxybuprocaine,CHEMBL1200,S01HA02
ospemifene,CHEMBL2105395,G03XC05
rifamycin,CHEMBL236921,J04AB03
creosote,CHEMBL2108245,R05CA08
etidocaine,CHEMBL492,N01BB07
flunoxaprofen,CHEMBL1614641,G02CC04
buprenorphine,CHEMBL2368861,N07BC01
carbachol,CHEMBL965,S01EB02
flunoxaprofen,CHEMBL1614641,M01AE15
vaginal ring with progestogen and estrogen,CHEMBL592868,G02BB01
Streptomycins,CHEMBL1201194,J01GA
natamycin,CHEMBL1200656,A01AB10
naloxegol,CHEMBL2219418,A06AH03
ferrous iodine,CHEMBL3707337,B03AA11
insulin degludec and insulin aspart,CHEMBL2107869,A10AD06
lamivudine and abacavir,CHEMBL1200619,J05AR02
"cyanocobalamin, combinations",CHEMBL2110563,B03BA51
atropine,CHEMBL195,A03BA01
"Watersoluble, nephrotropic, high osmolar X-ray contrast media",CHEMBL1201220,V08AA
Other antimigraine preparations in ATC,CHEMBL3527138,N02CX
norgestrienone,CHEMBL1908319,G03AC07
tetracycline,CHEMBL1440,A01AB13
rokitamycin,CHEMBL1908350,J01FA12
isothipendyl,CHEMBL2111066,D04AA22
thebacon,CHEMBL2104751,R05DA10
"Indifferent preparations, otologicals",CHEMBL2108930,S02DC
romiplostim,CHEMBL1201832,B02BX04
"smallpox, live attenuated",CHEMBL2108688,J07BX01
hydrocortisone,CHEMBL389621,D07XA01
dinoprostone,CHEMBL548,G02AD02
thiethylperazine,CHEMBL3989478,R06AD03
bevantolol,CHEMBL2106060,C07AB06
azacitidine,CHEMBL1489,L01BC07
papaveretum,CHEMBL3833334,N02AA10
iocarmic acid,CHEMBL2106389,V08AA08
Professional or Occupational Group,CHEMBL2108795,T097
betamethasone,CHEMBL1697784,A07EA04
Alpha- and beta-adrenoreceptor agonist inhalants,CHEMBL3251638,R03AA
"Secondary and tertiary amines, ganglion-blocking antiadrenergic",CHEMBL267936,C02BB
coagulation factor VIII,CHEMBL4298129,B02BD02
technetium (99mTc) ethylenedicysteine,CHEMBL1201524,V09CA06
azilsartan medoxomil,CHEMBL2028661,C09CA09
antazoline,CHEMBL1200550,R01AC04
etynodiol and ethinylestradiol,CHEMBL1078369,G03AA01
nitrogen,CHEMBL142438,V03AN04
epicillin,CHEMBL2104266,J01CA07
electrolytes with carbohydrates,CHEMBL2108504,B05BB02
potassium iodide,CHEMBL1141,V03AB21
propanidid,CHEMBL2105345,N01AX04
methotrexate,CHEMBL426,L01BA01
OTHER DRUGS FOR ACID RELATED DISORDERS in ATC,CHEMBL496957,A02X
pipenzolate,CHEMBL1619528,A03AB14
vildagliptin,CHEMBL142703,A10BH02
trichloroethylene,CHEMBL279816,N01AB05
Drugs used in hereditary angioedema,CHEMBL2028850,B06AC
other plasma protein fractions,CHEMBL2108773,B05AA02
formoterol and fluticasone,CHEMBL1676,R03AK11
enoxolone,CHEMBL230006,D03AX10
vapreotide,CHEMBL2103975,H01CB04
beclometasone,CHEMBL1586,A07EA07
"itramin tosilate, combinations",CHEMBL2106780,C01DX51
nadolol and thiazides,CHEMBL649,C07BA12
orgotein,CHEMBL2108545,M01AX14
"Insulins and analogues for injection, fast-acting",CHEMBL1098659,A10AB
oxyphenbutazone,CHEMBL3989676,M02AA04
levofloxacin,CHEMBL2237108,S01AE05
muromonab-CD3,CHEMBL1201608,L04AA02
levocarnitine,CHEMBL1149,A16AA01
cefetamet,CHEMBL2103764,J01DD10
vorapaxar,CHEMBL493982,B01AC26
stiripentol,CHEMBL1983350,N03AX17
"cromoglicic acid, combinations",CHEMBL428880,R01AC51
fluocinolone acetonide and antiinfectives,CHEMBL989,S02CA05
triaziquone,CHEMBL313302,L01AC02
cinepazide,CHEMBL1874750,C04AX27
"Insulins and analogs for injection, fast-acting combinations",CHEMBL1098659,A10AB30
vigabatrin,CHEMBL4303352,N03AG04
technetium (99mTc) antigranulocyte antibody,CHEMBL1201524,V09HA03
cefpodoxime,CHEMBL1672,J01DD13
besifloxacin,CHEMBL1201760,S01AE08
nabumetone,CHEMBL1070,M01AX01
Combinations of antihistamines,CHEMBL1200718,R06AK
budipine,CHEMBL334491,N04BX03
piroxicam,CHEMBL527,M02AA07
cyclopenthiazide and potassium,CHEMBL3989462,C03AB07
pemoline,CHEMBL1177,N06BA05
chromium (51Cr) chromate labelled cells,CHEMBL2110574,V09GX03
Group Attribute,CHEMBL2108795,T102
difluprednate,CHEMBL4303220,D07AC19
fibrinogen (125I),CHEMBL1201504,V09GB01
aluminium chloride,CHEMBL3707210,D10AX01
amodiaquine,CHEMBL682,P01BA06
diflucortolone,CHEMBL509924,D07XC04
sulindac,CHEMBL15770,M01AB02
diflucortolone,CHEMBL509924,D07AC06
other cough suppressant combinations in ATC,CHEMBL3527138,R05DB20
fimasartan,CHEMBL1951143,C09CA10
diethyltoluamide,CHEMBL1453317,P03BX01
aluminium oxide,CHEMBL3707210,D10AX04
mercaptamine,CHEMBL602,A16AA04
phenol,CHEMBL14060,C05BB05
ceftaroline fosamil,CHEMBL501122,J01DI02
fingolimod,CHEMBL314854,L04AA27
abiraterone,CHEMBL271227,L02BX03
Antiinfectives for treatment of acne,CHEMBL496957,D10AF
nifedipine and diuretics,CHEMBL1573,C08GA01
haloperidol,CHEMBL54,N05AD01
ethacizine,CHEMBL1997663,C01BC09
betamethasone,CHEMBL1697784,C05AA05
"theophylline, combinations excl. psycholeptics",CHEMBL1200578,R03DA54
Anticholinergics inhalants for obstructive airway diseases,CHEMBL576127,R03BB
ferric hydroxide,CHEMBL3707285,B03AB04
"Enzyme preparations, digestives",CHEMBL1159823,A09AA
zinc bandage without supplements,CHEMBL2108227,D09AB01
benziodarone,CHEMBL232201,C01DX04
niperotidine,CHEMBL1909284,A02BA05
noxytiolin,CHEMBL2106441,B05CA07
betamethasone,CHEMBL1697784,R03BA04
vosaroxin,CHEMBL68117,L01XX53
"Progesterone receptor modulators, sex hormones and modulators of the genital system",CHEMBL1276308,G03XB
secretin,CHEMBL3039582,V04CK01
Parathyroid hormones and analogues,CHEMBL2108078,H05AA
disulfiram,CHEMBL964,N07BB01
quinagolide,CHEMBL2218861,G02CB04
scopolamine,CHEMBL1256744,N05CM05
ANTI-DEMENTIA DRUGS,CHEMBL807,N06D
"Hemodialytics, concentrates",CHEMBL2108774,B05ZA
sulfinpyrazone,CHEMBL832,M04AB02
naltrexone,CHEMBL1201149,N07BB04
Other emollients and protectives in ATC,CHEMBL985,D02AX
olmesartan medoxomil and diuretics,CHEMBL1200692,C09DA08
chlormadinone and ethinylestradiol,CHEMBL1697830,G03AB07
ANESTHETICS,CHEMBL526,N01
hexylresorcinol,CHEMBL443605,R02AA12
mivacurium chloride,CHEMBL984,M03AC10
diltiazem,CHEMBL23,C05AE03
"Estren derivatives, sex hormones and modulators of the genital system",CHEMBL2106801,G03DC
mirtazapine,CHEMBL654,N06AX11
rimiterol,CHEMBL2000813,R03AC05
rubella immunoglobulin,CHEMBL2108981,J06BB06
"isoprenaline, combinations",CHEMBL1160723,R03CB51
"Enzyme and acid preparations, combinations",CHEMBL1159823,A09AC
belinostat,CHEMBL408513,L01XX49
Other i.v. solution additives in ATC,CHEMBL1200391,B05XX
clozapine,CHEMBL42,N05AH02
lafutidine,CHEMBL1742461,A02BA08
reteplase,CHEMBL2107885,B01AD07
rosuvastatin and amlodipine,CHEMBL1744447,C10BX09
flufenamic acid,CHEMBL23588,M01AG03
snake venom antiserum,CHEMBL525408,J06AA03
umifenovir,CHEMBL1214598,J05AX13
nelarabine,CHEMBL1201112,L01BB07
GENITO URINARY SYSTEM AND SEX HORMONES,CHEMBL548,G
clonidine,CHEMBL1705,N02CX02
nandrolone,CHEMBL1200946,A14AB01
roquinimex,CHEMBL11672,L03AX02
selenium sulfide,CHEMBL1200680,D01AE13
GENERAL NUTRIENTS,CHEMBL604608,V06
"carisoprodol, combinations excl. psycholeptics",CHEMBL1233,M03BA52
Selective beta-2-adrenoreceptor agonist inhalants,CHEMBL299175,R03AC
"lansoprazole, clarithromycin and tinidazole",CHEMBL1220,A02BD09
etilefrine,CHEMBL86882,C01CA01
taliglucerase alfa,CHEMBL1964120,A16AB11
flavoxate,CHEMBL1493,G04BD02
ANTIPSYCHOTICS,CHEMBL54,N05A
"Aminoalkyl ethers, systemic antihistamines",CHEMBL864,R06AA
aprobarbital,CHEMBL7863,N05CA05
sebelipase alfa,CHEMBL3039537,A16AB14
ANTI-ACNE PREPARATIONS,CHEMBL1200370,D10
dopamine,CHEMBL59,C01CA04
lanatoside C,CHEMBL506569,C01AA06
Sclerosing agents for local injection,CHEMBL1098659,C05BB
dimetotiazine,CHEMBL346977,N02CX05
carbinoxamine,CHEMBL864,R06AA08
ribociclib,CHEMBL3707266,L01XE42
pirbuterol,CHEMBL1094966,R03AC08
thiopental,CHEMBL441,N01AF03
cytarabine,CHEMBL803,L01BC01
Other antipruritics in ATC,CHEMBL3527138,D04AX
Other antiepileptics in ATC,CHEMBL3527138,N03AX
indinavir,CHEMBL1735,J05AE02
ANTIINFLAMMATORY THERAPEUTIC RADIOPHARMACEUTICALS,CHEMBL3833304,V10A
gitoformate,CHEMBL2103959,C01AA09
indacaterol and glycopyrronium bromide,CHEMBL1095777,R03AL04
"hydrochlorothiazide, combinations",CHEMBL435,C03AX01
opium,CHEMBL2107914,A07DA02
Penicillins with extended spectrum combinations,CHEMBL702,J01CA20
sulfadimidine,CHEMBL446,J01EB03
DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,CHEMBL1258080,A05C
"Oxicams, antiinflammatory and antirheumatic drugs",CHEMBL302795,M01AC
oxytocin,CHEMBL2093105,H01BB02
mercuric iodide,CHEMBL1233307,D08AK30
"poliomyelitis oral, trivalent, live attenuated",CHEMBL2108778,J07BF02
